,Epl.,Kap.,Tit.,Ist 2023,Zweckbestimmung,ministries,id,id_nlp_help,id_nlp,2012 id,2012 Zweck,Ist 2012,2013 id,2013 Zweck,Ist 2013,2014 id,2014 Zweck,Ist 2014,2015 id,2015 Zweck,Ist 2015,2016 id,2016 Zweck,Ist 2016,2017 id,2017 Zweck,Ist 2017,2018 id,2018 Zweck,Ist 2018,2019 id,2019 Zweck,Ist 2019,2020 id,2020 Zweck,Ist 2020,2021 id,2021 Zweck,Ist 2021,2022 id,2022 Zweck,Ist 2022
10,12,2,89111,5364604000.0,Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,Bundesministerium für Digitales und Verkehr,891111202,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins ,Bundesministerium für Digitales und Verkehr nullzweiachtneuneinseinseins  Baukostenzuschüsse für einen Infrastrukturbeitrag zur Erhaltung der Schienenwege der Eisenbahnen des Bundes,891111222,Bundesministerium für Digitales und Verkehr,2500000000.0,891111222,Bundesministerium für Digitales und Verkehr,2750000000.0,891111222,Bundesministerium für Digitales und Verkehr,2750000000.0,891111222,Bundesministerium für Digitales und Verkehr,3350000000.0,891111202,Bundesministerium für Digitales und Verkehr,3653000000.0,891111202,Bundesministerium für Digitales und Verkehr,3675000000.0,891111202,Bundesministerium für Digitales und Verkehr,3950000000.0,891111202,Bundesministerium für Digitales und Verkehr,4150000000.0,891111202,Bundesministerium für Digitales und Verkehr,5292500000.0,891111202,Bundesministerium für Digitales und Verkehr,5292500000.0,891111202,Bundesministerium für Digitales und Verkehr,5307500000.0
11,12,16,63401,5218166000.0,Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,Bundesministerium für Digitales und Verkehr,634011216,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins ,Bundesministerium für Digitales und Verkehr einssechssechsdreiviernulleins  Erstattungen von Verwaltungsausgaben des Bundeseisenbahnvermögens,634011222,Bundesministerium für Digitales und Verkehr,5104600000.0,634011222,Bundesministerium für Digitales und Verkehr,5239800000.0,634011222,Bundesministerium für Digitales und Verkehr,5279100000.0,634011222,Bundesministerium für Digitales und Verkehr,5253800000.0,634011216,Bundesministerium für Digitales und Verkehr,5231100000.0,634011216,Bundesministerium für Digitales und Verkehr,5249000000.0,634011216,Bundesministerium für Digitales und Verkehr,5281443000.0,634011216,Bundesministerium für Digitales und Verkehr,5162140000.0,634011216,Bundesministerium für Digitales und Verkehr,5163735000.0,634011216,Bundesministerium für Digitales und Verkehr,5055630000.0,634011216,Bundesministerium für Digitales und Verkehr,5045810000.0
12,11,2,63616,4948454325.56,Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,Bundesministerium für Arbeit und Soziales,636161102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinssechs  Beteiligung des Bundes in der knappschaftlichen Rentenversicherung,636261113,Bundesministerium für Arbeit und Soziales,5546282741.76,636261113,Bundesministerium für Arbeit und Soziales,5430756762.72,636161102,Bundesministerium für Arbeit und Soziales,5278586288.22,636161102,Bundesministerium für Arbeit und Soziales,5265531726.45,636161102,Bundesministerium für Arbeit und Soziales,5265135288.57,636161102,Bundesministerium für Arbeit und Soziales,5226767073.03,636161102,Bundesministerium für Arbeit und Soziales,5276260311.49,636161102,Bundesministerium für Arbeit und Soziales,5256480408.8,636161102,Bundesministerium für Arbeit und Soziales,5223284943.16,636161102,Bundesministerium für Arbeit und Soziales,5097760904.62,636161102,Bundesministerium für Arbeit und Soziales,5175194904.72
13,11,1,68511,3814147386.72,Leistungen zur Eingliederung in Arbeit,Bundesministerium für Arbeit und Soziales,685111101,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins ,Bundesministerium für Arbeit und Soziales nulleinssechsachtfünfeinseins  Leistungen zur Eingliederung in Arbeit,685111112,Bundesministerium für Arbeit und Soziales,3751175344.57,685111112,Bundesministerium für Arbeit und Soziales,3534047002.1,685111101,Bundesministerium für Arbeit und Soziales,3419737041.98,685111101,Bundesministerium für Arbeit und Soziales,3234392462.03,685111101,Bundesministerium für Arbeit und Soziales,3368090025.82,685111101,Bundesministerium für Arbeit und Soziales,3659047740.17,685111101,Bundesministerium für Arbeit und Soziales,3380096013.64,685111101,Bundesministerium für Arbeit und Soziales,3896307262.93,685111101,Bundesministerium für Arbeit und Soziales,3998445237.01,685111101,Bundesministerium für Arbeit und Soziales,4040692188.82,685111101,Bundesministerium für Arbeit und Soziales,3986475062.42
14,14,3,43353,3545180230.18,Versorgungsbezüge,Bundesministerium der Verteidigung,433531403,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei ,Bundesministerium der Verteidigung nulldreivierdreidreifünfdrei  Versorgungsbezüge,433531468,Bundesministerium der Verteidigung,2714969755.79,433531468,Bundesministerium der Verteidigung,2803949060.54,433531468,Bundesministerium der Verteidigung,2917919272.2,433531468,Bundesministerium der Verteidigung,3020918954.74,433531403,Bundesministerium der Verteidigung,3098249088.9,433531403,Bundesministerium der Verteidigung,3160207855.92,433531403,Bundesministerium der Verteidigung,3247622855.01,433531403,Bundesministerium der Verteidigung,3321883080.48,433531403,Bundesministerium der Verteidigung,3344489135.02,433531403,Bundesministerium der Verteidigung,3343588862.05,433531403,Bundesministerium der Verteidigung,3420503666.14
15,11,2,63612,3542804000.0,Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,Bundesministerium für Arbeit und Soziales,636121102,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei ,Bundesministerium für Arbeit und Soziales nullzweisechsdreisechseinszwei  Erstattung von Aufwendungen der Deutschen Rentenversicherung Bund aufgrund der Überführung von Zusatzversorgungssystemen in die RV,636221113,Bundesministerium für Arbeit und Soziales,2908908552.21,636221113,Bundesministerium für Arbeit und Soziales,2953415604.63,636121102,Bundesministerium für Arbeit und Soziales,3014052920.04,636121102,Bundesministerium für Arbeit und Soziales,3077976895.94,636121102,Bundesministerium für Arbeit und Soziales,3173388106.48,636121102,Bundesministerium für Arbeit und Soziales,3281990117.27,636121102,Bundesministerium für Arbeit und Soziales,3336103003.77,636121102,Bundesministerium für Arbeit und Soziales,3412251690.9,636121102,Bundesministerium für Arbeit und Soziales,3477070763.82,636121102,Bundesministerium für Arbeit und Soziales,3463915000.0,636121102,Bundesministerium für Arbeit und Soziales,3469525000.0
16,14,6,55311,2952729182.95,"Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",Bundesministerium der Verteidigung,553111406,Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins ,"Bundesministerium der Verteidigung nullsechsfünffünfdreieinseins  Erhaltung von Flugzeugen, Flugkörpern, Flugzeugrettungs-, Sicherheits- und sonstigem flugtechnischen Gerät",553111409,Bundesministerium der Verteidigung,1234553703.54,553111409,Bundesministerium der Verteidigung,1293832848.4,553111409,Bundesministerium der Verteidigung,1374819216.77,553111409,Bundesministerium der Verteidigung,1534034688.4,553111406,Bundesministerium der Verteidigung,1695502498.2,553111406,Bundesministerium der Verteidigung,1879785178.18,553111406,Bundesministerium der Verteidigung,2012870247.4,553111406,Bundesministerium der Verteidigung,2148429465.45,553111406,Bundesministerium der Verteidigung,2301170981.33,553111406,Bundesministerium der Verteidigung,2712929198.53,553111406,Bundesministerium der Verteidigung,2892868129.36
17,14,8,51802,2846770269.25,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,Bundesministerium der Verteidigung,518021408,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei ,Bundesministerium der Verteidigung nullachtfünfeinsachtnullzwei  Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,518021412,Bundesministerium der Verteidigung,1923802347.41,518021412,Bundesministerium der Verteidigung,2609851742.27,518021412,Bundesministerium der Verteidigung,2602082003.51,518021412,Bundesministerium der Verteidigung,2556222016.42,518021408,Bundesministerium der Verteidigung,2536593108.68,518021408,Bundesministerium der Verteidigung,2529486070.84,518021408,Bundesministerium der Verteidigung,2577685417.77,518021408,Bundesministerium der Verteidigung,2591668979.19,518021408,Bundesministerium der Verteidigung,2623375554.22,518021408,Bundesministerium der Verteidigung,2703771223.97,518021408,Bundesministerium der Verteidigung,2754523882.32
18,5,1,68732,2685092753.12,Humanitäre Hilfsmaßnahmen im Ausland,Auswärtiges Amt,687320501,Auswärtiges Amt nulleinssechsachtsiebendreizwei ,Auswärtiges Amt nulleinssechsachtsiebendreizwei  Humanitäre Hilfsmaßnahmen im Ausland,687720502,Auswärtiges Amt,158331956.46,687720502,Auswärtiges Amt,335161092.36,687320501,Auswärtiges Amt,411982155.0,687320501,Auswärtiges Amt,488638622.65,687320501,Auswärtiges Amt,1284190417.42,687320501,Auswärtiges Amt,1725991144.85,687320501,Auswärtiges Amt,1504871431.52,687320501,Auswärtiges Amt,1581351132.13,687320501,Auswärtiges Amt,2089167429.95,687320501,Auswärtiges Amt,2565031662.51,687320501,Auswärtiges Amt,3138838141.74
19,10,1,63601,2406144953.24,Zuschüsse zur Alterssicherung der Landwirte,Bundesministerium für Ernährung und Landwirtschaft,636011001,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins ,Bundesministerium für Ernährung und Landwirtschaft nulleinssechsdreisechsnulleins  Zuschüsse zur Alterssicherung der Landwirte,636511002,Bundesministerium für Ernährung und Landwirtschaft,2194217695.08,636011001,Bundesministerium für Ernährung und Landwirtschaft,2195899125.72,636011001,Bundesministerium für Ernährung und Landwirtschaft,2174527991.97,636011001,Bundesministerium für Ernährung und Landwirtschaft,2168524566.1,636011001,Bundesministerium für Ernährung und Landwirtschaft,2221317921.41,636011001,Bundesministerium für Ernährung und Landwirtschaft,2251756430.01,636011001,Bundesministerium für Ernährung und Landwirtschaft,2260435034.53,636011001,Bundesministerium für Ernährung und Landwirtschaft,2359227665.51,636011001,Bundesministerium für Ernährung und Landwirtschaft,2334713537.85,636011001,Bundesministerium für Ernährung und Landwirtschaft,2323537621.96,636011001,Bundesministerium für Ernährung und Landwirtschaft,2290304248.28
