,id,Epl.,Kap.,Tit.,Zweckbestimmung,Ist 2023,2012 Zweckbestimmung,Ist 2012,2013 Zweckbestimmung,Ist 2013,2014 Zweckbestimmung,Ist 2014,2015 Zweckbestimmung,Ist 2015,2016 Zweckbestimmung,Ist 2016,2017 Zweckbestimmung,Ist 2017,2018 Zweckbestimmung,Ist 2018,2019 Zweckbestimmung,Ist 2019,2020 Zweckbestimmung,Ist 2020,2021 Zweckbestimmung,Ist 2021,2022 Zweckbestimmung,Ist 2022
30,050489631,5,4,89631,Zuschüsse zu Baumaßnahmen,17011778.41,Zuschüsse zu Baumaßnahmen,8546324.0,Zuschüsse zu Baumaßnahmen,13522768.0,Zuschüsse zu Baumaßnahmen ,8502696.74,Zuschüsse zu Baumaßnahmen,8127447.1,Zuschüsse zu Baumaßnahmen,15351778.69,Zuschüsse zu Baumaßnahmen,63551620.41,Zuschüsse zu Baumaßnahmen,3654249.34,Zuschüsse zu Baumaßnahmen,7723224.61,Zuschüsse zu Baumaßnahmen,13705380.23,Zuschüsse zu Baumaßnahmen,24052568.96,Zuschüsse zu Baumaßnahmen,20622096.45
31,051154201,5,11,54201,Öffentlichkeitsarbeit,600399.26,Öffentlichkeitsarbeit,49037.55,Öffentlichkeitsarbeit,57697.78,Öffentlichkeitsarbeit ,770763.47,Öffentlichkeitsarbeit,798456.43,Öffentlichkeitsarbeit,800585.54,Öffentlichkeitsarbeit,642962.39,Öffentlichkeitsarbeit,852773.35,Öffentlichkeitsarbeit,897171.62,Öffentlichkeitsarbeit,893184.86,Öffentlichkeitsarbeit,780874.59,Öffentlichkeitsarbeit,625651.33
32,051163403,5,11,63403,Zuweisungen an den Versorgungsfonds,32641387.46,Zuweisungen an den Versorgungsfonds,196679.81,Zuweisungen an den Versorgungsfonds,215538.06,Zuweisungen an den Versorgungsfonds ,7521456.94,Zuweisungen an den Versorgungsfonds,9536227.93,Zuweisungen an den Versorgungsfonds,10443511.33,Zuweisungen an den Versorgungsfonds,13248182.27,Zuweisungen an den Versorgungsfonds,15682626.94,Zuweisungen an den Versorgungsfonds,18356035.86,Zuweisungen an den Versorgungsfonds,21003078.39,Zuweisungen an den Versorgungsfonds,23550992.52,Zuweisungen an den Versorgungsfonds,28337894.8
33,060111999,6,1,11999,Vermischte Einnahmen,16301349.82,Vermischte Einnahmen,1832584.35,Vermischte Einnahmen,1994233.12,Vermischte Einnahmen ,2095985.53,Vermischte Einnahmen,1442384.56,Vermischte Einnahmen,2738937.37,Vermischte Einnahmen,6309556.77,Vermischte Einnahmen,1525865.92,Vermischte Einnahmen,2812259.93,Vermischte Einnahmen,4187142.38,Vermischte Einnahmen,7440043.65,Vermischte Einnahmen,71044683.26
34,060211999,6,2,11999,Vermischte Einnahmen,2285704.61,Vermischte Einnahmen,3196120.1,Vermischte Einnahmen,2949648.13,Vermischte Einnahmen ,1096300.65,Vermischte Einnahmen,1182378.51,Vermischte Einnahmen,1270620.29,Vermischte Einnahmen,1308897.94,Vermischte Einnahmen,1422541.69,Vermischte Einnahmen,1224263.99,Vermischte Einnahmen,40762.2,Vermischte Einnahmen,166257.55,Vermischte Einnahmen,4035494.8
35,060253218,6,2,53218,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),512649.9,Fortentwicklung des Meldewesens,115135.0,Fortentwicklung des Meldewesens,115135.0,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards) ,247780.6,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),288542.96,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),482601.37,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),248263.07,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),422451.72,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),454916.88,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),511321.2,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),535952.1,Fortentwicklung von IT-Standards für den Datenaustausch in der öffentlichen Verwaltung (XÖV-Standards),548811.79
36,060253210,6,2,53210,Digitale Gesellschaft und Datenpolitik,4519000.0,"Ressort-CIO, IT-Steuerung Ressort BMI",335198.11,"Ressort-CIO, IT-Steuerung Ressort BMI",340584.61,E-Government und Internetstrategie des Bundes ,6323000.0,E-Government und Internetstrategie des Bundes,6262999.99,Internetstrategie des Bundes,8207868.42,Internetstrategie des Bundes,7177706.53,Internetstrategie des Bundes,2999257.22,Internetstrategie des Bundes,5652149.41,Internetstrategie des Bundes,4257238.35,Internetstrategie des Bundes,1960600.0,Internetstrategie des Bundes und digitale Innovationen,5805809.62
37,060253214,6,2,53214,"Ausgaben für die Gemeinsame IT des Bundes, IT-Steuerung des Bundes",11100517.14,Untersuchungen und Aufklärung über innenpolitische Grundsatzfragen sowie Förderung innenpolitischer Maßnahmen,1869541.96,Untersuchungen und Aufklärung über innenpolitische Grundsatzfragen sowie Förderung innenpolitischer Maßnahmen,120970.85,IT-Konsolidierung Bund ,1015674.64,IT-Konsolidierung Bund,3080366.57,IT-Konsolidierung Bund,2247868.77,IT-Konsolidierung Bund,1353625.17,Ausgaben für die Gemeinsame IT des Bundes,624803.02,"Ausgaben für die Gemeinsame IT des Bundes, IT-Steuerung des Bundes",1948348.76,"Ausgaben für die Gemeinsame IT des Bundes, IT-Steuerung des Bundes",289995.06,"Ausgaben für die Gemeinsame IT des Bundes, IT-Steuerung des Bundes",357877.08,"Ausgaben für die Gemeinsame IT des Bundes, IT-Steuerung des Bundes",2809112.82
38,060251721,6,2,51721,"Bewirtschaftung der Grundstücke, Gebäude und Räume",11245233.59,"Bewirtschaftung der Grundstücke, Gebäude und Räume",1739295.69,"Bewirtschaftung der Grundstücke, Gebäude und Räume",1627224.47,"Bewirtschaftung der Grundstücke, Gebäude und Räume ",5016129.66,"Bewirtschaftung der Grundstücke, Gebäude und Räume",8297162.04,"Bewirtschaftung der Grundstücke, Gebäude und Räume",4195450.41,"Bewirtschaftung der Grundstücke, Gebäude und Räume",5397213.15,"Bewirtschaftung der Grundstücke, Gebäude und Räume",4641853.22,"Bewirtschaftung der Grundstücke, Gebäude und Räume",9513111.44,"Bewirtschaftung der Grundstücke, Gebäude und Räume",8164279.53,"Bewirtschaftung der Grundstücke, Gebäude und Räume",6337500.17,"Bewirtschaftung der Grundstücke, Gebäude und Räume",5685111.66
39,060251821,6,2,51821,Mieten und Pachten,28868537.04,Mieten und Pachten,8731707.73,Mieten und Pachten,14228651.03,Mieten und Pachten ,14379451.41,Mieten und Pachten,18199629.95,Mieten und Pachten,15159347.7,Mieten und Pachten,10490492.36,Mieten und Pachten,14522069.76,Mieten und Pachten,19911992.87,Mieten und Pachten,18240866.59,Mieten und Pachten,17265587.77,Mieten und Pachten,19999790.23
40,060251921,6,2,51921,Unterhaltung der Grundstücke und baulichen Anlagen,19117924.53,Unterhaltung der Grundstücke und baulichen Anlagen,384236.75,Unterhaltung der Grundstücke und baulichen Anlagen,1514445.57,Unterhaltung der Grundstücke und baulichen Anlagen ,3333940.66,Unterhaltung der Grundstücke und baulichen Anlagen,5764110.95,Unterhaltung der Grundstücke und baulichen Anlagen,6881472.73,Unterhaltung der Grundstücke und baulichen Anlagen,6592702.89,Unterhaltung der Grundstücke und baulichen Anlagen,9783571.98,Unterhaltung der Grundstücke und baulichen Anlagen,18168561.71,Unterhaltung der Grundstücke und baulichen Anlagen,17750858.69,Unterhaltung der Grundstücke und baulichen Anlagen,13066683.0,Unterhaltung der Grundstücke und baulichen Anlagen,24601572.62
41,060252521,6,2,52521,Aus- und Fortbildung,46303.54,Aus- und Fortbildung,273139.51,Aus- und Fortbildung,187102.51,Aus- und Fortbildung ,110934.18,Aus- und Fortbildung,28396.97,Aus- und Fortbildung,69539.17,Aus- und Fortbildung,14147.91,Aus- und Fortbildung,42939.96,Aus- und Fortbildung,52279.37,Aus- und Fortbildung,48309.99,Aus- und Fortbildung,73304.19,Aus- und Fortbildung,79460.08
42,060271121,6,2,71121,"Kleine Neu-, Um- und Erweiterungsbauten",44687932.67,"Kleine Neu-, Um- und Erweiterungsbauten",28434610.59,"Kleine Neu-, Um- und Erweiterungsbauten",62156934.98,"Kleine Neu-, Um- und Erweiterungsbauten ",59264398.94,"Kleine Neu-, Um- und Erweiterungsbauten",7187086.89,"Kleine Neu-, Um- und Erweiterungsbauten",19877979.14,"Kleine Neu-, Um- und Erweiterungsbauten",9224703.12,"Kleine Neu-, Um- und Erweiterungsbauten",15232659.64,"Kleine Neu-, Um- und Erweiterungsbauten",17763853.93,"Kleine Neu-, Um- und Erweiterungsbauten",25980037.33,"Kleine Neu-, Um- und Erweiterungsbauten",34036466.39,"Kleine Neu-, Um- und Erweiterungsbauten",38282948.71
43,060281220,6,2,81220,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",3032527.69,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",13595153.72,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsg",21125249.68,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen ",17644950.3,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",13996370.76,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",10850590.71,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",10842125.18,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",4031022.55,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",4574353.21,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",1311002.55,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",2815578.01,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen",4613290.25
44,061013201,6,10,13201,Erlöse aus der Veräußerung von beweglichen Sachen,1987647.53,Erlöse aus der Veräußerung von beweglichen Sachen,807416.75,Erlöse aus der Veräußerung von beweglichen Sachen,426930.09,Erlöse aus der Veräußerung von beweglichen Sachen ,886294.21,Erlöse aus der Veräußerung von beweglichen Sachen,1221250.9,Erlöse aus der Veräußerung von beweglichen Sachen,1296994.04,Erlöse aus der Veräußerung von beweglichen Sachen,1379283.4,Erlöse aus der Veräußerung von beweglichen Sachen,1293967.47,Erlöse aus der Veräußerung von beweglichen Sachen,1820836.64,Erlöse aus der Veräußerung von beweglichen Sachen,1565686.02,Erlöse aus der Veräußerung von beweglichen Sachen,2302198.65,Erlöse aus der Veräußerung von beweglichen Sachen,803583.39
45,061211999,6,12,11999,Vermischte Einnahmen,11185170.02,Vermischte Einnahmen,13037.47,Vermischte Einnahmen,354357.25,Vermischte Einnahmen ,1897701.91,Vermischte Einnahmen,2293457.97,Vermischte Einnahmen,2021808.25,Vermischte Einnahmen,2260447.86,Vermischte Einnahmen,5406816.51,Vermischte Einnahmen,4732894.01,Vermischte Einnahmen,2887674.44,Vermischte Einnahmen,10139710.18,Vermischte Einnahmen,12054046.62
46,061213201,6,12,13201,Erlöse aus der Veräußerung von beweglichen Sachen,536731.07,Erlöse aus der Veräußerung von beweglichen Sachen,44620.1,Erlöse aus der Veräußerung von beweglichen Sachen,70362.96,Erlöse aus der Veräußerung von beweglichen Sachen ,348819.38,Erlöse aus der Veräußerung von beweglichen Sachen,542510.11,Erlöse aus der Veräußerung von beweglichen Sachen,541716.26,Erlöse aus der Veräußerung von beweglichen Sachen,428613.74,Erlöse aus der Veräußerung von beweglichen Sachen,305564.41,Erlöse aus der Veräußerung von beweglichen Sachen,312433.95,Erlöse aus der Veräußerung von beweglichen Sachen,556472.29,Erlöse aus der Veräußerung von beweglichen Sachen,189136.22,Erlöse aus der Veräußerung von beweglichen Sachen,359619.36
47,061251802,6,12,51802,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,29186379.72,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,5178675.19,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,5183671.32,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement ,4229009.31,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,19944863.65,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,12768624.17,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,19968539.84,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,19116000.0,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,21817109.41,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,23223997.79,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,45761835.68,Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement,29596505.61
48,061242201,6,12,42201,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,100485823.09,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,4087665.09,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,4219925.3,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten ,55351843.52,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,56773923.48,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,60151409.82,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,63558343.49,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,68966628.72,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,81937096.94,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,95041880.21,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,102383579.95,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,102626685.41
